information_offer,response_demonstrative_o,response_demonstrative_x,question_depend_o,question_depend_x,lenS,general,context,UI3average,UI3average_diff,num_noun_after,num_noun_before,u_utte_len_after,u_utte_len_before,theme_index
0.0,0.0,0.0,1.0,0.0,23.833333333333332,1.099624448180425,7.062146892655368,5.155367231638418,0.18926553672316385,5.612994350282486,3.457627118644068,78.98186440677966,55.370776836158186,5.2175141242937855
0.0,0.0,0.0,0.0,1.0,28.87116564417178,1.012001393289737,6.214723926380368,5.052760736196319,0.6588957055214725,3.098159509202454,1.0368098159509203,51.64825153374234,30.939079754601224,10.895705521472392
0.0,0.0,1.0,0.0,0.0,17.89673913043478,1.1233802850850483,6.353260869565218,4.466304347826087,0.027173913043478267,0.6956521739130435,1.3369565217391304,30.618070652173916,35.86961956521739,9.445652173913043
0.0,0.0,1.0,0.0,0.0,13.0,4.413793103448277,81.0,3.9671874999999996,-0.60625,0.0,4.296875,17.285664062500004,61.1232421875,7.390625
0.0,1.0,0.0,0.0,0.0,22.413533834586467,1.068620769372649,6.526315789473684,4.578947368421052,-0.6210526315789473,1.0977443609022557,5.917293233082707,35.25300751879699,78.0163909774436,7.571428571428571
1.0,0.0,0.0,0.0,0.0,47.35227272727273,1.0,2.5568181818181817,4.779545454545455,0.25909090909090904,3.0,1.4545454545454546,54.04409090909091,35.98102272727272,7.886363636363637
0.0,0.0,0.0,0.0,1.0,25.910526315789475,1.0329892037786774,4.868421052631579,3.4221052631578948,-0.8063157894736841,2.1578947368421053,1.1,55.69336842105262,33.383973684210524,4.542105263157895
0.0,0.0,1.0,0.0,0.0,11.35135135135135,2.056847640479354,30.89189189189189,4.140540540540541,-0.11891891891891894,1.172972972972973,2.4216216216216218,25.775675675675675,52.3485135135135,8.416216216216217
0.0,0.0,0.0,0.0,1.0,28.93069306930693,1.0088057157364088,4.455445544554456,5.193564356435643,0.7346534653465345,4.103960396039604,1.5,58.04841584158416,31.241596534653464,2.4034653465346536
0.0,0.0,1.0,0.0,0.0,17.153284671532848,1.2030875416565299,7.7226277372262775,4.243795620437956,-1.0832116788321169,0.26277372262773724,8.036496350364963,22.39332116788321,101.15452554744526,5.700729927007299
