exchgID,da,theme,UI,utterance
000_S,change_theme,-,-, *** これから食事の話をしましょう***
000_U,-,-,4.0,はい
001_S,thank,default,-, そうなんですね．新しい知識が増えました！ありがとうございます！
001_U,-,-,4.0,？
002_S,qs_x_s,食事,-, お友達とランチに行ったりしますか？
002_U,-,-,4.0,いきますね
003_S,qs_o_s,食事,-, なるほど、その中でもおすすめのスイーツはありますか？
003_U,-,-,5.0,すいーつはケーイがやっぱり好きです
004_S,io,食事,-, 私の友人はあんこ系が好きだそうです。あずきときなこは、体や肌にいいそうで、よく食べてるそうです・・
004_U,-,-,5.0,そうなんや，健康のことは度外視している，，
005_S,qs_o_d,default,-, 具体的に教えてください？
005_U,-,-,5.0,とにかく食べるだけ食べてます
006_S,qs_o_d,default,-, 具体的には教えてもらえますか？
006_U,-,-,3.0,いいましたよ
007_S,qs_o_s,食事,-, それは「最近」食べられたんですか？
007_U,-,-,5.0,先週くらいに食べました
008_S,qs_o_d,default,-, 具体的には何ですか？
008_U,-,-,4.0,レモンケーキです
009_S,qs_o_s,食事,-, 具体的にどういう味か教えてください。
009_U,-,-,4.0,そこまで酸っぱくないケーキです
