name,lenS,label,名詞,agent_utterance,dialogue_act,general,context,questionmark,depend_word,nod_word,information_offer,question_depend_o,question_depend_x,response_demonstrative_o,response_demonstrative_x,UI3average,UI3average_diff,u_utte_len_after,u_utte_len_before,num_noun_after,num_noun_before,theme_index,theme,freq,information_offer_s,response_demonstrative_o_s,response_demonstrative_x_s,question_depend_o_s,question_depend_x_s,lenS_s,general_s,context_s,UI3average_s,UI3average_diff_s,num_noun_after_s,num_noun_before_s,u_utte_len_after_s,u_utte_len_before_s,theme_index_s,cls
1902F2001_007,5.0,4.4,0, なるほど。,oa,1.7407407407407407,36,0,0,1,0.0,0.0,0.0,0.0,1.0,4.4,-0.7999999999999998,12.895000000000001,31.57,0,2,6,default,47,-0.216467919002797,-0.2693671231363102,1.4494641672838096,-0.46861815763742426,-0.7912883820432716,-1.4290249752932906,0.4220180094675243,1.1605362869720675,-0.2716451559087639,-0.8467840932988335,-0.6704689599364005,-0.18582744782002394,-0.891294956773174,-0.41109192719885285,-0.04452619403019795,0
1902F2002_020,5.0,4.0,0, なるほど。,oa,1.7407407407407407,36,0,0,1,0.0,0.0,0.0,0.0,1.0,4.0,-0.40000000000000036,12.91,32.595,0,0,13,default,47,-0.216467919002797,-0.2693671231363102,1.4494641672838096,-0.46861815763742426,-0.7912883820432716,-1.4290249752932906,0.4220180094675243,1.1605362869720675,-0.7430082419781646,-0.42744466573573403,-0.6704689599364005,-0.6615263572134708,-0.8909204683227869,-0.38602742812552804,1.5512276659791362,0
1902F4001_029,5.0,4.2,0, なるほど。,oa,1.7407407407407407,36,0,0,1,0.0,0.0,0.0,0.0,1.0,4.2,-1.5999999999999996,35.684999999999995,131.84,0,9,4,default,47,-0.216467919002797,-0.2693671231363102,1.4494641672838096,-0.46861815763742426,-0.7912883820432716,-1.4290249752932906,0.4220180094675243,1.1605362869720675,-0.5073266989434643,-1.6854629484250334,-0.6704689599364005,1.4791187350570398,-0.32232217115169737,2.0408274114180043,-0.5004558683185791,5
1902F4001_050,5.0,4.0,0, なるほど。,oa,1.7407407407407407,36,0,0,1,0.0,0.0,0.0,0.0,1.0,4.0,-0.40000000000000036,12.695,11.225000000000001,0,0,6,default,47,-0.216467919002797,-0.2693671231363102,1.4494641672838096,-0.46861815763742426,-0.7912883820432716,-1.4290249752932906,0.4220180094675243,1.1605362869720675,-0.7430082419781646,-0.42744466573573403,-0.6704689599364005,-0.6615263572134708,-0.8962881361116689,-0.9085916673420656,-0.04452619403019795,0
1902F4002_053,5.0,3.6,0, なるほど。,oa,1.7407407407407407,36,0,0,1,0.0,0.0,0.0,0.0,1.0,3.6,-1.6,11.82,106.515,0,8,11,default,47,-0.216467919002797,-0.2693671231363102,1.4494641672838096,-0.46861815763742426,-0.7912883820432716,-1.4290249752932906,0.4220180094675243,1.1605362869720675,-1.2143713280475648,-1.6854629484250339,-0.6704689599364005,1.2412692803603165,-0.9181332957175834,1.4215508855331742,1.095297991690755,5
1902F4002_061,5.0,4.0,0, なるほど。,oa,1.7407407407407407,36,0,0,1,0.0,0.0,0.0,0.0,1.0,4.0,-1.7999999999999998,8.165,88.91999999999999,0,10,6,default,47,-0.216467919002797,-0.2693671231363102,1.4494641672838096,-0.46861815763742426,-0.7912883820432716,-1.4290249752932906,0.4220180094675243,1.1605362869720675,-0.7430082419781646,-1.8951326622065836,-0.6704689599364005,1.7169681897537632,-1.009383648128575,0.9912973624159545,-0.04452619403019795,5
1902F4002_067,5.0,3.4,0, なるほど。,oa,1.7407407407407407,36,0,0,1,0.0,0.0,0.0,0.0,1.0,3.4,-1.0000000000000004,15.56,98.635,0,8,2,default,47,-0.216467919002797,-0.2693671231363102,1.4494641672838096,-0.46861815763742426,-0.7912883820432716,-1.4290249752932906,0.4220180094675243,1.1605362869720675,-1.4500528710822653,-1.0564538070803842,-0.6704689599364005,1.2412692803603165,-0.8247608420877315,1.2288599072914188,-0.9563855426069603,5
1902F4003_046,5.0,3.8,0, なるほど。,oa,1.7407407407407407,36,0,0,1,0.0,0.0,0.0,0.0,1.0,3.8,-0.6000000000000005,4.165,78.815,0,8,7,default,47,-0.216467919002797,-0.2693671231363102,1.4494641672838096,-0.46861815763742426,-0.7912883820432716,-1.4290249752932906,0.4220180094675243,1.1605362869720675,-0.9786897850128651,-0.6371143795172843,-0.6704689599364005,1.2412692803603165,-1.10924723489847,0.7441980813077135,0.18343864311399263,5
1902F4003_055,5.0,4.0,0, なるほど。,oa,1.7407407407407407,36,0,0,1,0.0,0.0,0.0,0.0,1.0,4.0,-1.5999999999999996,14.18,70.36500000000001,0,9,5,default,47,-0.216467919002797,-0.2693671231363102,1.4494641672838096,-0.46861815763742426,-0.7912883820432716,-1.4290249752932906,0.4220180094675243,1.1605362869720675,-0.7430082419781646,-1.6854629484250334,-0.6704689599364005,1.4791187350570398,-0.8592137795233453,0.5375687962642068,-0.27249103117438855,5
1902F4004_012,5.0,4.2,0, なるほど。,oa,1.7407407407407407,36,0,0,1,0.0,0.0,0.0,0.0,1.0,4.2,-0.39999999999999947,15.489999999999998,66.275,0,3,5,default,47,-0.216467919002797,-0.2693671231363102,1.4494641672838096,-0.46861815763742426,-0.7912883820432716,-1.4290249752932906,0.4220180094675243,1.1605362869720675,-0.5073266989434643,-0.4274446657357331,-0.6704689599364005,0.05202200687669945,-0.8265084548562047,0.43755533166918387,-0.27249103117438855,0
