name,POM_state,BASE_state,label
1902F4001_001,4.126484820610682,4.1272037586086,4.4
1902F4001_002,4.373813517340261,4.345955361025637,4.4
1902F4001_003,4.6679849165779,4.730085440870795,4.4
1902F4001_004,4.569031477694191,4.656637462899546,4.4
1902F4001_005,4.935651776481895,5.001060087274625,4.6
1902F4001_006,4.8756301373484545,4.653735306017042,5.2
1902F4001_007,4.519098460803798,4.373780626352446,5.0
1902F4001_008,4.1271694826725,4.100610971896175,4.0
1902F4001_009,4.125681418082184,4.100807310848344,4.0
1902F4001_010,4.868592986149468,4.928212884835881,5.2
1902F4001_011,4.969141056023875,5.070819676501785,4.6
1902F4001_012,4.923991691693523,4.969567493464132,4.0
1902F4001_013,4.048487117693619,4.139032570911497,3.2
1902F4001_014,4.5489448675559965,4.6640619922279605,3.2
1902F4001_015,3.966616464143565,3.892673718999737,4.0
1902F4001_016,4.951396698517886,5.068666174383038,5.0
1902F4001_017,5.018294730971825,5.207124768731506,5.4
1902F4001_018,4.8111385330039065,4.836953275194047,5.8
1902F4001_019,5.076105344836415,5.342505606165436,6.2
1902F4001_020,4.908516956130548,4.6072720711572765,4.8
1902F4001_021,5.0552854212134335,4.981624820797607,5.2
1902F4001_022,4.218775869099241,4.1006861523818285,4.0
1902F4001_023,4.126933686760261,4.317881935057312,4.8
1902F4001_024,4.667570003283535,4.749364436474359,4.6
1902F4001_025,4.128576907056591,4.1003919339836585,4.2
1902F4001_026,4.772831914883445,4.821731812980341,5.4
1902F4001_027,4.908101172633581,4.964178995063041,5.2
1902F4001_028,5.125698842990796,5.420957365811324,5.8
1902F4001_029,4.214196243994884,4.11433753595434,4.2
1902F4001_030,4.9782829928138135,5.116576154882893,5.2
1902F4001_031,4.037789471085396,3.9212542764968377,4.2
1902F4001_032,4.2104478595514925,4.257325477614124,4.8
1902F4001_033,4.047863014097809,4.035691161362373,4.0
1902F4001_034,4.125083561783828,4.100151063337655,4.0
1902F4001_035,4.1251742717585875,4.100182242603974,4.0
1902F4001_036,4.919375869100574,4.999622800641721,5.2
1902F4001_037,5.0312959026016255,5.2435810717804525,6.4
1902F4001_038,4.0922947238627785,3.9874906739197815,4.2
1902F4001_039,4.610286075841037,4.702041698794698,4.0
1902F4001_040,5.0306846143969315,5.240473819096256,5.4
1902F4001_041,5.013199640796695,5.216989548572811,5.6
1902F4001_042,4.061459276854677,3.9450527669852975,4.2
1902F4001_043,4.125144336131853,4.100249642153011,4.0
1902F4001_044,4.871506130354539,4.925548443022159,3.6
1902F4001_045,4.052370452327384,3.980313889600189,3.8
1902F4001_046,4.997220346389588,5.163231795839894,5.6
1902F4001_047,4.531630619698148,4.608170913440364,4.0
1902F4001_048,5.168517283265333,5.463469976331098,6.0
1902F4001_049,4.122417051491131,4.017816987075379,4.4
1902F4001_050,3.9727163162062684,3.9203497022862592,4.0
1902F4001_051,4.093118999830161,4.104118370486816,4.0
1902F4001_052,4.125274072205798,4.100327418956565,4.0
1902F4001_053,4.6841895142998204,4.7513549638849675,4.6
1902F4001_054,5.097849433439279,5.37679070881019,5.6
1902F4001_055,4.1084884757462135,4.002938261431924,4.2
1902F4001_056,5.424336134286468,5.6292484733421695,6.2
1902F4001_057,4.349726932937746,4.209163868415469,5.2
1902F4001_058,4.063447361884058,4.052669837826814,4.2
1902F4001_059,4.125353417871898,4.100469475745934,4.0
1902F4001_060,4.758360494532426,4.809381561569649,5.4
1902F4001_061,4.847784496760461,4.880815393217711,5.6
1902F4001_062,4.907014240296534,4.9615802192625535,5.6
1902F4001_063,4.7263069369348685,4.460780200636832,4.2
1902F4001_064,4.948011796555659,5.041667750181752,6.2
1902F4001_065,4.0828755483813035,3.999308895497266,4.4
1902F4001_066,5.183033335685092,5.441177836642543,6.0
1902F4001_067,4.94789985802754,5.027310549107816,5.8
1902F4001_068,4.9200183846517875,4.63622184788979,4.8
1902F4001_069,4.056774731881503,3.971600504327755,4.2
1902F4001_070,4.077443622968968,4.2563421112815085,4.0
1902F4001_071,5.038401786989695,5.236253049699161,5.0
1902F4001_072,4.045786707959581,3.9219550540525634,4.0
1902F4002_001,4.212003310038538,4.209927199568451,4.2
1902F4002_002,4.944320275885685,4.844056191000544,4.6
1902F4002_003,4.624630189564165,4.689327465917216,5.2
1902F4002_004,4.951630193730604,5.033083956781367,5.0
1902F4002_005,4.218759266863175,4.405009341464125,4.6
1902F4002_006,4.913515803938492,4.980737838362542,4.8
1902F4002_007,4.433951236288401,4.311975171433175,6.2
1902F4002_008,4.66853108827179,4.524634618001949,6.0
1902F4002_009,4.128253640232864,4.099932213266124,4.2
1902F4002_010,4.238730507003526,4.452411999320038,5.0
1902F4002_011,4.882720147947841,4.933545774012466,5.4
1902F4002_012,4.87844657997916,4.899214335793434,5.2
1902F4002_013,4.915973489491236,4.9764946898736175,5.2
1902F4002_014,4.964654950477945,5.058939951755463,5.2
1902F4002_015,5.1063748097145805,5.072583209592054,6.4
1902F4002_016,4.253068574119906,4.100002033965646,4.2
1902F4002_017,4.125258025855747,4.0998736121785875,4.2
1902F4002_018,4.752923852580164,4.812973948285203,4.8
1902F4002_019,4.865926522256705,4.8856981417679455,5.6
1902F4002_020,4.135619162719308,4.100274822283569,4.4
1902F4002_021,4.372384482814819,4.545059279464282,5.6
1902F4002_022,4.735974417933488,4.773055406754464,5.6
1902F4002_023,4.628937684363124,4.6952279623568645,6.2
1902F4002_024,4.980251905918657,5.103458490829313,6.2
1902F4002_025,4.9296955358604135,4.9799632394407665,6.0
1902F4002_026,5.132809131042348,5.110168713668523,6.0
1902F4002_027,5.057557960962104,5.3147235660543934,5.6
1902F4002_028,4.049597623235394,3.9179887222037983,3.8
