exchgID,speaker,class,theme,UI3,utterance
000,S,-,-,-, *** これから食事の話をしましょう***
000,U,-,-,4.0,はい
001,S,response_demonstrative_x,default,-, 素敵な趣味ですね。
001,U,-,-,3.0,まだ何も言ってないです
002,S,response_demonstrative_o,default,-, なるほど、それは面白そうですね。
002,U,-,-,3.0,食事のことですか？
003,S,information_offer,食事,-, たくさんおしゃべりをすると、楽しくて、ストレスが発散できるようですね。
003,U,-,-,4.0,たしかに話しながらは楽しいですよね
004,S,question_depend_o,default,-, それのどういったところが好きなんですか？
004,U,-,-,4.0,時間を忘れて楽しめるところです
005,S,question_depend_o,default,-, 具体的にはどういったものですか？
005,U,-,-,4.0,居酒屋とかでよくします
